ingest,retrieval,hit_rate,mrr,avg_chunks,avg_latency_ms,chunk_size,chunk_overlap,mode,k,final_k,candidates,score_threshold
chunk=200/overlap=200,semantic-k3-thr-0.25,0.875,0.8125,2.5,210.9999999993306,200,200,semantic,3,3,0,0.25
chunk=200/overlap=200,bm25-k3,0.75,0.625,1.75,1.8750000017462298,200,200,bm25,3,3,0,
chunk=200/overlap=200,hybrid-final3-thr-0.25,0.875,0.75,2.875,197.37499999973807,200,200,hybrid,0,3,6,0.25
chunk=300/overlap=200,semantic-k3-thr-0.25,0.875,0.8125,2.625,201.12499999959255,300,200,semantic,3,3,0,0.25
chunk=300/overlap=200,bm25-k3,0.75,0.625,1.75,3.8749999985157046,300,200,bm25,3,3,0,
chunk=300/overlap=200,hybrid-final3-thr-0.25,0.875,0.75,2.875,293.0000000014843,300,200,hybrid,0,3,6,0.25
chunk=512/overlap=200,semantic-k3-thr-0.25,1.0,0.9375,2.625,179.7499999993306,512,200,semantic,3,3,0,0.25
chunk=512/overlap=200,bm25-k3,0.625,0.5,1.75,1.874999998108251,512,200,bm25,3,3,0,
chunk=512/overlap=200,hybrid-final3-thr-0.25,0.875,0.7916666666666666,2.875,199.2500000014843,512,200,hybrid,0,3,6,0.25
chunk=1024/overlap=200,semantic-k3-thr-0.25,1.0,0.8125,2.625,175.75000000215368,1024,200,semantic,3,3,0,0.25
chunk=1024/overlap=200,bm25-k3,0.75,0.5,2.125,0.0,1024,200,bm25,3,3,0,
chunk=1024/overlap=200,hybrid-final3-thr-0.25,0.875,0.6458333333333334,3.0,263.62499999959255,1024,200,hybrid,0,3,6,0.25
